Using device: cpu
PG training on LunarLander-v3 | reward_to_go=False adv_norm=True
[PG] Iter 435/500 | Mean Reward=-35.22
[PG] Iter 436/500 | Mean Reward=3.76
[PG] Iter 437/500 | Mean Reward=7.16
[PG] Iter 438/500 | Mean Reward=-3.89
[PG] Iter 439/500 | Mean Reward=-46.99
[PG] Iter 440/500 | Mean Reward=-6.68
Saved latest PG checkpoint (iter 440) - P3/Q2/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 441/500 | Mean Reward=-29.15
[PG] Iter 442/500 | Mean Reward=0.83
[PG] Iter 443/500 | Mean Reward=-35.48
[PG] Iter 444/500 | Mean Reward=-0.88
[PG] Iter 445/500 | Mean Reward=-23.86
[PG] Iter 446/500 | Mean Reward=11.48
[PG] Iter 447/500 | Mean Reward=-51.49
[PG] Iter 448/500 | Mean Reward=3.46
[PG] Iter 449/500 | Mean Reward=8.90
[PG] Iter 450/500 | Mean Reward=-116.05
