Using device: cpu
PG training on LunarLander-v3 | reward_to_go=True adv_norm=True
[PG] Iter 383/500 | Mean Reward=122.55
[PG] Iter 384/500 | Mean Reward=125.67
[PG] Iter 385/500 | Mean Reward=150.28
[PG] Iter 386/500 | Mean Reward=-15.41
[PG] Iter 387/500 | Mean Reward=22.39
[PG] Iter 388/500 | Mean Reward=130.68
[PG] Iter 389/500 | Mean Reward=104.51
[PG] Iter 390/500 | Mean Reward=112.80
Saved latest PG checkpoint (iter 390) - P3/Q3/Batch2500/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 391/500 | Mean Reward=95.54
[PG] Iter 392/500 | Mean Reward=132.98
[PG] Iter 393/500 | Mean Reward=81.54
[PG] Iter 394/500 | Mean Reward=102.38
[PG] Iter 395/500 | Mean Reward=121.74
[PG] Iter 396/500 | Mean Reward=140.38
[PG] Iter 397/500 | Mean Reward=54.24
[PG] Iter 398/500 | Mean Reward=100.48
[PG] Iter 399/500 | Mean Reward=52.92
[PG] Iter 400/500 | Mean Reward=142.69
Saved latest PG checkpoint (iter 400) - P3/Q3/Batch2500/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 401/500 | Mean Reward=113.56
[PG] Iter 402/500 | Mean Reward=90.74
[PG] Iter 403/500 | Mean Reward=51.16
[PG] Iter 404/500 | Mean Reward=57.43
[PG] Iter 405/500 | Mean Reward=133.56
[PG] Iter 406/500 | Mean Reward=50.85
[PG] Iter 407/500 | Mean Reward=68.12
[PG] Iter 408/500 | Mean Reward=70.94
[PG] Iter 409/500 | Mean Reward=71.25
[PG] Iter 410/500 | Mean Reward=105.26
Saved latest PG checkpoint (iter 410) - P3/Q3/Batch2500/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 411/500 | Mean Reward=108.67
[PG] Iter 412/500 | Mean Reward=81.39
[PG] Iter 413/500 | Mean Reward=115.55
[PG] Iter 414/500 | Mean Reward=101.13
[PG] Iter 415/500 | Mean Reward=112.14
[PG] Iter 416/500 | Mean Reward=128.79
[PG] Iter 417/500 | Mean Reward=82.36
[PG] Iter 418/500 | Mean Reward=95.05
[PG] Iter 419/500 | Mean Reward=117.79
[PG] Iter 420/500 | Mean Reward=148.66
Saved latest PG checkpoint (iter 420) - P3/Q3/Batch2500/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 421/500 | Mean Reward=94.12
[PG] Iter 422/500 | Mean Reward=118.10
[PG] Iter 423/500 | Mean Reward=118.72
[PG] Iter 424/500 | Mean Reward=97.30
[PG] Iter 425/500 | Mean Reward=128.38
[PG] Iter 426/500 | Mean Reward=114.11
[PG] Iter 427/500 | Mean Reward=134.87
[PG] Iter 428/500 | Mean Reward=82.09
[PG] Iter 429/500 | Mean Reward=142.70
[PG] Iter 430/500 | Mean Reward=100.90
Saved latest PG checkpoint (iter 430) - P3/Q3/Batch2500/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 431/500 | Mean Reward=105.68
[PG] Iter 432/500 | Mean Reward=126.62
[PG] Iter 433/500 | Mean Reward=108.66
[PG] Iter 434/500 | Mean Reward=116.08
[PG] Iter 435/500 | Mean Reward=124.72
[PG] Iter 436/500 | Mean Reward=141.99
[PG] Iter 437/500 | Mean Reward=151.43
[PG] Iter 438/500 | Mean Reward=87.86
[PG] Iter 439/500 | Mean Reward=123.12
[PG] Iter 440/500 | Mean Reward=81.16
Saved latest PG checkpoint (iter 440) - P3/Q3/Batch2500/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 441/500 | Mean Reward=130.58
[PG] Iter 442/500 | Mean Reward=154.17
[PG] Iter 443/500 | Mean Reward=88.63
[PG] Iter 444/500 | Mean Reward=150.79
[PG] Iter 445/500 | Mean Reward=149.81
[PG] Iter 446/500 | Mean Reward=88.63
[PG] Iter 447/500 | Mean Reward=137.50
[PG] Iter 448/500 | Mean Reward=127.94
[PG] Iter 449/500 | Mean Reward=145.32
